ID,Condition,Humanness,Harm,Gender,Age,Pain,Experience,Agency,Consciousness,Empathy,Attractiveness
78,1,1,1,2,1,7,7,7,7,7,6
82,1,1,1,1,41,6,6,5,6,1,1
85,1,1,1,1,36,7,6,5,7,5,3
86,1,1,1,1,37,7,7,7,7,6,5
102,1,1,1,2,26,6,6,6,6,5,6
117,1,1,1,2,36,7,7,6,7,6,7
127,1,1,1,2,199,7,7,7,7,6,5
133,1,1,1,2,29,6,5,5,6,6,6
141,1,1,1,1,22,7,6,5,6,5,4
144,1,1,1,1,34,7,7,7,7,7,6
146,1,1,1,2,18,7,7,6,6,6,5
160,1,1,1,1,18,7,7,6,6,6,2
162,1,1,1,1,18,6,4,4,7,4,1
185,1,1,1,NA,20,7,6,5,4,6,6
189,1,1,1,2,28,7,7,5,6,6,5
203,1,1,1,2,20,7,7,7,5,6,5
215,1,1,1,2,18,7,7,5,4,6,7
218,1,1,1,1,21,6,6,4,6,5,3
255,1,1,1,1,20,7,7,5,4,7,7
333,1,1,1,1,1,7,7,7,7,7,6
339,1,1,1,NA,26,7,7,6,6,6,6
345,1,1,1,1,21,7,7,5,6,6,5
346,1,1,1,1,23,7,6,5,6,5,5
350,1,1,1,1,1,7,7,7,6,6,5
352,1,1,1,2,19,7,7,5,6,6,5
353,1,1,1,1,18,5,5,4,5,5,6
356,1,1,1,1,19,6,6,6,6,6,5
359,1,1,1,1,36,7,6,5,4,5,6
362,1,1,1,2,20,7,7,6,7,6,6
364,1,1,1,1,18,7,7,7,6,7,5
365,1,1,1,1,18,7,5,5,6,5,4
367,1,1,1,2,18,7,6,5,6,6,6
369,1,1,1,2,18,7,7,5,4,5,7
370,1,1,1,2,1,6,6,5,5,5,5
371,1,1,1,1,18,7,7,5,7,6,2
373,1,1,1,2,18,5,7,6,6,6,6
375,1,1,1,1,1y,7,7,6,7,6,5
376,1,1,1,2,18,6,6,6,6,7,4
377,1,1,1,1,19,5,5,4,3,5,6
378,1,1,1,1,22,4,6,4,4,6,7
383,1,1,1,2,19,7,7,6,7,6,7
389,1,1,1,1,18,7,7,7,6,7,4
391,1,1,1,NA,18,7,7,7,6,6,4
392,1,1,1,2,19,7,6,5,4,6,5
394,1,1,1,2,18,6,6,5,5,5,4
397,1,1,1,2,18,7,6,4,4,5,4
398,1,1,1,2,18,5,4,4,5,5,5
406,1,1,1,1,19,7,7,5,6,6,2
409,1,1,1,2,27,7,7,7,6,5,6
421,1,1,1,2,19,7,7,7,7,7,6
423,1,1,1,NA,18,7,7,7,7,7,7
425,1,1,1,1,29,7,7,6,6,6,5
429,1,1,1,1,20,7,7,7,7,7,6
430,1,1,1,2,20,4,5,5,4,5,1
437,1,1,1,2,21,6,6,6,5,5,3
438,1,1,1,1,20,7,7,6,7,6,4
442,1,1,1,2,18,6,6,6,6,6,6
443,1,1,1,2,18,4,3,4,4,5,5
444,1,1,1,1,19,7,6,7,6,6,6
446,1,1,1,1,30,7,7,7,7,7,5
449,1,1,1,2,18,7,7,6,7,6,7
453,1,1,1,2,20,7,6,4,6,5,2
455,1,1,1,1,18,7,6,6,6,4,7
63,2,1,2,2,1,7,7,6,6,5,6
70,2,1,2,2,1,7,5,5,4,4,1
81,2,1,2,2,1,4,6,4,4,5,6
87,2,1,2,1,1,5,5,5,4,6,6
94,2,1,2,NA,18,5,5,5,5,5,2
96,2,1,2,1,23,5,5,5,4,6,4
98,2,1,2,2,19,6,6,6,5,5,4
100,2,1,2,1,36,6,6,5,6,6,6
105,2,1,2,1,20,5,7,5,6,6,7
122,2,1,2,2,223,7,6,5,5,6,6
123,2,1,2,NA,19,2,2,3,2,4,3
153,2,1,2,1,1,7,4,4,4,4,5
155,2,1,2,2,32,7,7,6,6,5,5
165,2,1,2,2,1,5,5,5,4,3,6
169,2,1,2,1,21,3,3,4,2,4,7
177,2,1,2,1,6,7,7,5,2,3,6
184,2,1,2,2,30,4,5,6,6,6,4
194,2,1,2,2,23,6,6,5,4,5,6
236,2,1,2,1,19,7,7,5,6,4,6
240,2,1,2,2,29,5,4,4,5,4,5
245,2,1,2,2,21,6,7,6,6,6,6
247,2,1,2,NA,19,7,7,5,6,5,6
252,2,1,2,2,27,7,7,6,6,6,5
256,2,1,2,2,40,5,5,5,4,5,6
469,2,1,2,2,18,6,6,6,7,3,1
471,2,1,2,1,18,5,5,4,4,5,7
474,2,1,2,2,18,6,6,4,4,5,6
480,2,1,2,2,21,7,7,6,7,6,7
483,2,1,2,2,18,7,7,6,6,6,5
485,2,1,2,2,21,5,6,5,5,4,7
488,2,1,2,2,21,5,5,5,6,5,5
491,2,1,2,2,19,7,7,7,7,7,7
494,2,1,2,2,21,7,7,6,6,6,6
496,2,1,2,2,21,6,5,5,3,4,5
498,2,1,2,2,20,7,6,5,4,5,6
499,2,1,2,2,21,6,5,5,5,5,4
502,2,1,2,2,19,6,5,5,4,3,4
505,2,1,2,2,23,5,4,4,5,4,4
510,2,1,2,1,19,7,7,7,7,7,7
516,2,1,2,2,19,3,3,3,5,4,3
520,2,1,2,2,18,7,7,5,6,5,6
549,2,1,2,2,26,6,6,4,4,5,6
554,2,1,2,NA,23,7,7,7,6,6,7
558,2,1,2,2,27,7,6,3,1,3,7
101,3,2,1,2,1,4,4,4,4,4,4
107,3,2,1,2,18,7,6,7,6,6,7
120,3,2,1,2,19,6,4,5,5,5,6
