id,condition,sex,phase,oi.score
1,0,0,1,0
1,0,0,2,0
1,0,0,3,0
2,0,0,1,1
2,0,0,2,1
2,0,0,3,1
3,0,1,1,1
3,0,1,2,1
3,0,1,3,1
4,0,0,1,1
4,0,0,2,1
4,0,0,3,1
5,0,0,1,1
5,0,0,2,1
5,0,0,3,1
6,0,1,1,1
6,0,1,2,1
6,0,1,3,1
7,0,1,1,1
7,0,1,2,1
7,0,1,3,1
8,0,0,1,0
8,0,0,2,0
8,0,0,3,0
9,0,0,1,0
9,0,0,2,0
9,0,0,3,0
10,0,1,1,0
10,0,1,2,0
10,0,1,3,0
11,0,0,1,0
11,0,0,2,0
11,0,0,3,0
12,0,0,1,0
12,0,0,2,0
12,0,0,3,0
13,0,1,1,0
13,0,1,2,0
13,0,1,3,0
14,0,1,1,0
14,0,1,2,0
14,0,1,3,0
15,0,1,1,1
15,0,1,2,1
15,0,1,3,1
16,0,1,1,1
16,0,1,2,1
16,0,1,3,1
17,0,1,1,1
17,0,1,2,1
17,0,1,3,1
18,0,1,1,0
18,0,1,2,0
18,0,1,3,0
19,0,1,1,1
19,0,1,2,1
19,0,1,3,1
20,0,0,1,1
20,0,0,2,1
20,0,0,3,1
21,0,1,1,2
21,0,1,2,2
21,0,1,3,2
22,0,1,1,0
22,0,1,2,0
22,0,1,3,0
23,0,0,1,0
23,0,0,2,0
23,0,0,3,0
24,0,1,1,1
24,0,1,2,1
24,0,1,3,1
25,0,0,1,2
25,0,0,2,2
25,0,0,3,2
26,0,0,1,1
26,0,0,2,1
26,0,0,3,1
27,0,0,1,0
27,0,0,2,0
27,0,0,3,0
28,0,0,1,0
28,0,0,2,0
28,0,0,3,0
29,2,1,1,2
29,2,1,2,2
29,2,1,3,2
30,1,1,1,2
30,1,1,2,0
30,1,1,3,2
31,1,1,1,2
31,1,1,2,0
31,1,1,3,2
32,2,0,1,2
32,2,0,2,1
32,2,0,3,2
33,1,0,1,1
33,1,0,2,0
33,1,0,3,2
34,2,0,1,1
34,2,0,2,0
34,2,0,3,2
35,1,1,1,2
35,1,1,2,2
35,1,1,3,2
36,1,1,1,2
36,1,1,2,0
36,1,1,3,2
37,2,1,1,2
37,2,1,2,2
37,2,1,3,2
38,2,1,1,2
38,2,1,2,0
38,2,1,3,2
39,1,0,1,2
39,1,0,2,2
39,1,0,3,2
40,1,1,1,2
40,1,1,2,0
40,1,1,3,2
41,1,0,1,2
41,1,0,2,1
41,1,0,3,2
42,1,1,1,1
42,1,1,2,0
42,1,1,3,0
43,2,1,1,1
43,2,1,2,1
43,2,1,3,2
44,2,0,1,2
44,2,0,2,0
44,2,0,3,1
45,1,0,1,1
45,1,0,2,1
45,1,0,3,1
46,1,1,1,2
46,1,1,2,0
46,1,1,3,1
47,1,1,1,2
47,1,1,2,2
47,1,1,3,2
48,2,1,1,0
48,2,1,2,0
48,2,1,3,0
49,2,0,1,1
49,2,0,2,0
49,2,0,3,2
50,1,1,1,2
50,1,1,2,2
50,1,1,3,2
51,2,0,1,2
51,2,0,2,2
51,2,0,3,1
52,2,0,1,0
52,2,0,2,0
52,2,0,3,0
53,2,0,1,2
53,2,0,2,2
53,2,0,3,2
54,2,0,1,2
54,2,0,2,0
54,2,0,3,2
55,1,1,1,2
55,1,1,2,0
55,1,1,3,2
56,1,0,1,0
56,1,0,2,0
56,1,0,3,0
57,1,1,1,2
57,1,1,2,0
57,1,1,3,2
58,1,1,1,1
58,1,1,2,0
58,1,1,3,2
59,2,1,1,2
59,2,1,2,1
59,2,1,3,1
60,2,0,1,2
60,2,0,2,0
60,2,0,3,2
61,2,1,1,2
61,2,1,2,2
61,2,1,3,2
62,2,0,1,1
62,2,0,2,0
62,2,0,3,1
63,2,1,1,2
63,2,1,2,0
63,2,1,3,2
64,2,0,1,2
64,2,0,2,2
64,2,0,3,2
65,2,0,1,0
65,2,0,2,1
65,2,0,3,1
66,2,1,1,1
66,2,1,2,0
66,2,1,3,2
67,2,0,1,1
67,2,0,2,0
67,2,0,3,1
68,2,0,1,2
68,2,0,2,0
68,2,0,3,2
69,1,1,1,2
69,1,1,2,1
69,1,1,3,2
70,1,0,1,2
70,1,0,2,2
70,1,0,3,2
71,1,0,1,1
71,1,0,2,0
71,1,0,3,1
72,2,0,1,2
72,2,0,2,1
72,2,0,3,2
73,1,0,1,2
73,1,0,2,2
73,1,0,3,2
74,1,0,1,0
74,1,0,2,0
74,1,0,3,0
75,2,1,1,2
75,2,1,2,0
75,2,1,3,2
76,1,0,1,0
76,1,0,2,0
76,1,0,3,0
77,1,1,1,2
77,1,1,2,0
77,1,1,3,2
78,1,1,1,1
78,1,1,2,1
78,1,1,3,2
79,2,0,1,2
79,2,0,2,0
79,2,0,3,1
80,2,1,1,1
80,2,1,2,0
80,2,1,3,0
81,2,0,1,1
81,2,0,2,1
81,2,0,3,2
82,1,1,1,1
82,1,1,2,0
82,1,1,3,2
83,1,0,1,0
83,1,0,2,0
83,1,0,3,0
84,1,1,1,2
84,1,1,2,0
84,1,1,3,0
85,2,1,1,2
85,2,1,2,1
85,2,1,3,2
86,2,0,1,2
86,2,0,2,0
86,2,0,3,1
87,2,1,1,2
87,2,1,2,2
87,2,1,3,2
88,1,0,1,0
88,1,0,2,0
88,1,0,3,1
89,2,0,1,1
89,2,0,2,0
89,2,0,3,1
90,2,1,1,1
90,2,1,2,0
90,2,1,3,1
