ID,RSEX,KIDBORN,IDENTITY,LONGILL,LIVEWITH,HOUSTYP,HAPPYSCH,PUPBULL,UBULLPHY,UBULLOTH,UBULLSMS,TALENTS,DECISION,RESOLVE,DEVHEAL,GETONWEL,CRITICAL,CREATIVE,DEALCHL,VALUED,MAFEEQ,MAFAIR,MAHARSH,SCHACTIV,RESPECT,KY10INGH,KY10IN01,KY10IN02,KY10IN03,KY10IN04,KY10IN05,KY10IN06,KY10IN07,KY10IN08,KY10IN09,KY10IN10,KYFINAN,AUTKNOW,Autismp1,Autismp2,Autismp3,Autismp4,autismp5,autismp6,autismnoone,autismdontknow,AUTDIFF,AUTGOOD,AUTNXTDR,AUTCLASS,AUTXHELP,AUTBULL,AUTBULLU,AGMORESP,AGLERESP,AGADMIR,AGLISTEN,AGNOMIX,AGMIX,AGMOVE,AGGENER,AGMEMOR,AGLIVE,KC10IN_T,SCHOOLLOC
1,2,3,6,2,1,3,1,4,3,3,2,1,1,2,1,2,1,1,1,1,1, , , ,1,1,4,4,5,5, ,4,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.2206196736218, 
2,2,1,1,2,1,1,1,2,3,2,2,1,6,1,4,1,6,1,2,6,3,5,1,1,1,3,4,4,4,5,5, ,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,62.3354324462888, 
3,1,1,2,2,1,1,1,2,2,4,2,2,2,2,1,2,2,3,1,4,3,5,5,5,1,2,4,5,3,3,1,2,5,3,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,42.2729427242036, 
4,2,1,2,2,1,1,2,3,3,2,1,1,1,2,2,1,2,1,1,3,2,4,1,2,3,3,2,5,4,4,2,2,4,3,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,40.2415430898556, 
5,1,1,7,2,1,2,1,2,2,3,1,4,2,3,1,4,6,2,1,2,1, , , ,6,2,1,4,4,3,1,3,4,4,4,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,38.3358967662053, 
6,1,2,5,2,4,1,1,2,3,3,2,1,2,1,1,2,1,1,1,1,1, , , ,1,1,5,5,4,5,3,5,5,5,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,57.2859533551951, 
7,1,2,3,1,1,1,1,1,1,1,2,3,1,5,2,1,3,1,2,5,3,5,1,4,5,1,5,5,2,1,3,5,5,1,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,44.4784623272101, 
8,2,2,6,1,1,1,2,1,1,1,2,2,2,4,3,5,3,1,2,5,4, , , ,3,3,3,4,2,2,2,2,5,2,3,5,3,2, , , , , , ,1, ,1,3,2,2,3,3,2,4,1,3,4,4,1,2,1,3,2,37.4169302649526, 
9,2,1,2,2,2,1,1,2,3,3,2,2,2,2,2,2,2,2,3,2,1, , , ,2,2,3,4,4,5,4,4,5,5,4,3,4,1, , ,1, , , , , ,1,1,2,1,4,2,2,4,5,1,4,3,2,3,1,2,2,49.7601013765151, 
10,1,1,1,2,1,2,1,2,2,4,2,1,1,1,1,1,1,1,1,1,1, , , ,1,1,5,5,4,4,2,3,5,5,5,4,4,1, , , ,1, , , , ,1,1,1,1,3,1,2,3,2,4,4,3,1,3,1,1,1,51.3562010892171,2
11,1,2,4,2,1,3,3,2,2,2,2,3,5,5, ,3,4,2,3,5,2,4,1,1,4,3,1,2,2,4,1,1,2,2,3,4,1,2, , , , , , ,1, ,3,3,1,3,1,1,2,3,1,2,4,3,2,3,2,4,2,29.9684649390096,2
12,1,1,4,2,1,1,3,2,4,2,2,1,2,3,3,2,2,3,3,3,4, , , ,2,2,4,3,1,4,2,3,4,4,4,2,4,1, ,1, , , , , , ,1,3,2,2,3,1,2,3,3,2,1,1,2,3,5,3,3,38.3358967662053,2
13,1,1,1,3,3,1,1,2,1,1,1,2,2,1,1,2,2,1,3,3,1, , , ,1,3,2,4,2,3,2,3,5,3,3,3,2,2,1, , , , , , , ,2,2,2,1,3,1,3,4,2,1,3,2,3,3,2,3,4,37.4169302649526,2
14,2,1,1,1,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1, , , ,2,1,5,5,3,5,2,5,5,5,5,5,5,1, , , , , ,1, , ,1,1,1,1,3,1,2,3,1,1,4,3,1,5,1,1,2,57.2859533551951,2
15,1,1,1,2,1,2,3,2,2,2,1,2,3,3,1,3,4,6,1,5,2,4,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,2, ,1,1, , , , , ,1,1,3,2,1,1,2,4,2,2,1,3,3,3,5,3,2,35.5983439256314,2
16,1,1,2,2,1,1,1,2,3,3,2,1,1,2,1,2,1,1,1,2,1, , , ,1,1,1,5,4,4,3,4,5,5,4,4,4,1, , , , ,1, , , ,1,3,2,2,3,1,2,3,2,1,4,3,2,4,1,3,4,46.9354885516121,2
