"","id","sex","age","video.game.hrs.wk","own.robot","robot","vas","male","child"
"1.a.Cog",1,"M",39,0,"N","a.Cog",-40,1,FALSE
"3.a.Cog",3,"M",56,0,"N","a.Cog",-18,1,FALSE
"4.a.Cog",4,"F",32,0.25,"N","a.Cog",-55,0,FALSE
"5.a.Cog",5,"M",44,0,"N","a.Cog",0,1,FALSE
"6.a.Cog",6,"M",45,0,"N","a.Cog",-58,1,FALSE
"7.a.Cog",7,"F",26,0,"N","a.Cog",12,0,FALSE
"8.a.Cog",8,"F",61,0,"N","a.Cog",-58,0,FALSE
"9.a.Cog",9,"M",13,10,"N","a.Cog",19,1,TRUE
"10.a.Cog",10,"F",44,0,"N","a.Cog",-53,0,FALSE
"18.a.Cog",18,"F",12,0,"N","a.Cog",28,0,TRUE
"19.a.Cog",19,"M",21,25,"N","a.Cog",10,1,FALSE
"20.a.Cog",20,"F",66,0,"N","a.Cog",74,0,FALSE
"21.a.Cog",21,"F",47,0,"N","a.Cog",33,0,FALSE
"24.a.Cog",24,"F",13,3.5,"N","a.Cog",-15,0,TRUE
"25.a.Cog",25,"M",46,0,"N","a.Cog",-53,1,FALSE
"26.a.Cog",26,"F",46,0,"N","a.Cog",-21,0,FALSE
"29.a.Cog",29,"F",35,0,"N","a.Cog",-7,0,FALSE
"30.a.Cog",30,"M",48,0,"N","a.Cog",-39,1,FALSE
"31.a.Cog",31,"F",41,0,"N","a.Cog",-65,0,FALSE
"32.a.Cog",32,"M",44,0,"N","a.Cog",-51,1,FALSE
"34.a.Cog",34,"M",46,0,"N","a.Cog",-60,1,FALSE
"35.a.Cog",35,"F",52,0,"N","a.Cog",12,0,FALSE
"36.a.Cog",36,"F",43,0,"N","a.Cog",-65,0,FALSE
"38.a.Cog",38,"F",69,0,"N","a.Cog",-36,0,FALSE
"39.a.Cog",39,"M",76,0,"N","a.Cog",-45,1,FALSE
"41.a.Cog",41,"M",33,0.5,"N","a.Cog",-42,1,FALSE
"42.a.Cog",42,"M",14,12,"N","a.Cog",56,1,TRUE
"44.a.Cog",44,"F",46,0,"N","a.Cog",54,0,FALSE
"45.a.Cog",45,"F",46,0,"N","a.Cog",-24,0,FALSE
"46.a.Cog",46,"F",12,0,"N","a.Cog",-11,0,TRUE
"47.a.Cog",47,"M",54,0,"N","a.Cog",26,1,FALSE
"48.a.Cog",48,"F",47,0,"N","a.Cog",-7,0,FALSE
"50.a.Cog",50,"M",14,10,"N","a.Cog",-11,1,TRUE
"51.a.Cog",51,"M",11,1,"N","a.Cog",0,1,TRUE
"52.a.Cog",52,"F",13,3,"N","a.Cog",0,0,TRUE
"2.a.Cog",2,"F",52,0,"Y","a.Cog",-73,0,FALSE
"11.a.Cog",11,"F",13,0,"Y","a.Cog",8,0,TRUE
"12.a.Cog",12,"M",48,0,"Y","a.Cog",45,1,FALSE
"13.a.Cog",13,"F",32,0,"Y","a.Cog",7,0,FALSE
"14.a.Cog",14,"F",51,0,"Y","a.Cog",-30,0,FALSE
"15.a.Cog",15,"M",14,2,"Y","a.Cog",6,1,TRUE
"16.a.Cog",16,"F",50,0,"Y","a.Cog",-25,0,FALSE
"17.a.Cog",17,"F",44,0,"Y","a.Cog",-36,0,FALSE
"22.a.Cog",22,"F",33,0,"Y","a.Cog",-75,0,FALSE
"23.a.Cog",23,"F",13,0,"Y","a.Cog",2,0,TRUE
"27.a.Cog",27,"M",12,10,"Y","a.Cog",-40,1,TRUE
