"","id","age","male","profession","recognize","wager","eyebrow","robot","child"
"10.mean-2",10,66,0,3,1,60,"b.Mean","b.Kismet",FALSE
"13.mean-2",13,24,0,5,2,50,"b.Mean","b.Kismet",FALSE
"14.mean-2",14,36,1,3,2,5,"b.Mean","b.Kismet",FALSE
"16.mean-2",16,40,0,3,2,20,"b.Mean","b.Kismet",FALSE
"17.mean-2",17,19,0,5,2,20,"b.Mean","b.Kismet",FALSE
"24.mean-2",24,22,0,5,2,10,"b.Mean","b.Kismet",FALSE
"25.mean-2",25,20,0,5,2,50,"b.Mean","b.Kismet",FALSE
"33.mean-2",33,31,1,3,2,35,"b.Mean","b.Kismet",FALSE
"34.mean-2",34,42,1,3,1,50,"b.Mean","b.Kismet",FALSE
"35.mean-2",35,37,0,1,2,60,"b.Mean","b.Kismet",FALSE
"36.mean-2",36,24,1,3,2,100,"b.Mean","b.Kismet",FALSE
"37.mean-2",37,42,1,1,1,70,"b.Mean","b.Kismet",FALSE
"38.mean-2",38,32,0,3,1,10,"b.Mean","b.Kismet",FALSE
"39.mean-2",39,55,1,3,2,25,"b.Mean","b.Kismet",FALSE
"40.mean-2",40,48,0,1,1,65,"b.Mean","b.Kismet",FALSE
"41.mean-2",41,70,1,3,2,100,"b.Mean","b.Kismet",FALSE
"42.mean-2",42,65,0,4,2,30,"b.Mean","b.Kismet",FALSE
"46.mean-2",46,18,0,5,2,30,"b.Mean","b.Kismet",FALSE
"47.mean-2",47,21,0,2,2,20,"b.Mean","b.Kismet",FALSE
"48.mean-2",48,39,1,1,2,100,"b.Mean","b.Kismet",FALSE
"49.mean-2",49,32,1,5,2,30,"b.Mean","b.Kismet",FALSE
"50.mean-2",50,30,1,5,2,10,"b.Mean","b.Kismet",FALSE
"51.mean-2",51,24,0,5,2,0,"b.Mean","b.Kismet",FALSE
"52.mean-2",52,24,0,5,2,40,"b.Mean","b.Kismet",FALSE
"53.mean-2",53,24,0,5,2,60,"b.Mean","b.Kismet",FALSE
"54.mean-2",54,24,0,5,2,0,"b.Mean","b.Kismet",FALSE
"55.mean-2",55,24,0,5,2,80,"b.Mean","b.Kismet",FALSE
"56.mean-2",56,NA,0,5,2,50,"b.Mean","b.Kismet",NA
