"","Duration","Age","Gender","gen_comf","gen_masc","gen_fem","gen_stab","sex_str","sex_freq","sex_pref","rom_str","rom_freq","rom_pref"
"1",198,19,"Female",9,4,7,9,9,8,8,9,9,9
"2",144,21,"Female",9,2,8,9,9,6,8,NA,8,8
"3",592,18,"Female",8,6,5,9,9,8,7,9,8,5
"4",99,18,"Male",9,8,1,9,9,9,1,9,9,1
"5",135,20,"Male",9,5,3,9,8,9,2,7,9,1
"6",154,18,"Female",9,2,9,8,8,8,8,8,7,9
"7",88,18,"Female",9,2,8,9,9,7,9,9,7,9
"8",185,18,"Female",9,3,5,6,6,5,8,9,7,5
"9",219,21,"Female",9,3,7,8,9,6,9,9,6,9
"10",475,19,"Male",9,8,7,8,9,3,6,9,7,4
"11",149,19,"Female",9,5,3,9,7,6,9,6,5,9
"12",268,18,"Female",9,2,7,9,8,5,8,8,4,8
"13",214,19,"Female",9,2,8,9,7,8,8,8,6,9
"14",192,20,"Female",8,7,8,7,9,7,4,8,6,2
"15",97,19,"Female",9,3,6,9,8,6,9,8,6,9
"16",275,18,"Female",9,4,6,9,8,4,8,8,6,8
"17",107,18,NA,9,3,7,9,8,8,9,8,8,9
"18",390,19,"Female",9,3,8,9,8,6,7,9,6,9
"19",159,19,"Female",9,4,7,7,8,6,1,8,7,7
"20",553,20,"Male",9,7,3,9,9,7,1,9,3,2
"21",167,20,"Female",9,1,6,9,9,7,9,9,6,6
"22",108,21,"Male",9,6,4,9,6,9,2,8,7,2
"23",106,18,"Female",9,3,7,9,9,7,9,8,8,7
"24",136,20,"Female",9,3,8,9,8,7,2,9,9,1
"25",92,19,"Female",9,2,8,9,8,6,8,8,8,7
"26",223,22,"Female",8,4,6,8,6,3,1,9,3,3
"27",228,19,"Female",8,2,8,8,7,7,9,8,7,9
"28",147,19,"Female",9,4,6,6,7,7,6,8,7,5
"29",140,18,"Female",9,4,7,9,8,6,8,8,7,8
"30",94,18,"Female",9,3,7,8,8,8,9,8,8,8
"31",156,19,"Female",9,1,9,9,8,7,9,9,7,9
"32",890,20,"Female",9,3,7,9,8,7,9,9,9,9
"33",512,18,"Female",9,2,7,8,2,2,9,3,2,7
"34",234,19,"Female",9,2,7,9,8,9,8,9,9,5
"35",252,20,"Male",7,5,6,7,7,2,7,9,7,8
"36",257,23,"Male",7,7,2,8,4,3,6,8,5,3
"37",163,23,"Female",9,2,7,9,8,8,9,8,8,8
"38",228,19,"Female",9,2,7,9,9,4,1,9,1,9
"39",215,18,"Female",9,3,6,8,8,6,7,8,3,7
"40",113,19,"Female",9,2,7,9,8,7,8,7,6,8
"41",11342,20,"Female",9,3,7,8,9,5,7,9,5,9
"42",153,19,"Female",4,7,1,1,1,3,5,9,9,5
"43",86,20,"Male",8,5,5,3,9,9,9,9,9,9
"44",85,23,"Male",9,6,3,9,7,5,1,8,4,1
"45",1041,27,"Female",9,3,8,8,6,6,4,6,6,5
"46",179,20,"Female",8,5,7,6,7,6,3,8,7,4
"47",151,19,"Female",9,1,8,9,9,8,9,9,8,9
"48",121,20,"Female",9,2,8,9,7,9,9,9,9,9
"49",105,19,"Female",9,3,8,8,7,5,5,8,8,5
"50",135,19,"Female",9,5,5,9,6,4,5,7,3,5
"51",162,20,"Female",8,4,6,5,9,8,5,9,8,6
"52",107,20,"Female",9,6,7,9,9,9,9,9,9,9
"53",773,20,"Female",9,2,9,9,9,8,9,9,8,9
"54",299,34,"Female",8,3,7,8,9,8,5,9,3,5
"55",163,18,"Female",9,2,8,9,7,9,7,9,8,7
"56",171,19,"Female",9,3,6,6,8,5,6,8,6,5
"57",134,20,"Female",9,3,7,8,9,9,8,9,4,5
"58",2412,19,"Female",9,3,6,9,7,4,9,9,7,7
"59",194,18,"Female",9,3,9,9,9,9,8,9,9,8
"60",252,22,"Male",9,7,1,7,8,3,1,8,2,1
"61",48,25,"Female",9,4,6,9,2,1,5,3,2,7
"62",240,19,"Female",7,7,5,8,7,8,2,9,7,2
"63",287,19,"Female",9,2,8,9,5,3,9,8,7,9
"64",142,19,"Female",9,1,9,9,7,7,9,9,7,6
"65",103,20,"Male",9,7,2,9,9,9,1,9,6,1
"66",148,18,"Female",9,4,6,9,5,3,8,6,5,8
"67",103,20,"Female",9,1,8,9,9,7,9,9,7,9
"68",79,19,"Female",9,1,8,9,9,7,8,9,9,8
"69",147,19,"Female",5,6,6,4,3,3,6,3,1,6
"70",93,20,"Female",9,3,7,9,8,5,8,9,3,9
"71",135,20,"Female",9,1,7,9,9,5,7,9,6,7
"72",93,19,"Female",9,2,9,9,9,7,9,9,7,9
"73",126,19,"Male",9,7,1,9,7,3,8,7,3,8
"74",98,20,"Male",9,7,3,9,9,8,1,8,9,1
"75",688,18,"Female",9,2,7,9,8,5,9,9,7,9
"76",154,25,"Female",9,2,7,8,8,6,7,9,5,9
"77",144,24,"Female",9,2,8,9,7,6,5,7,3,5
"78",149,18,"Male",9,6,3,9,9,7,1,9,5,1
"79",186,19,"Female",9,2,8,9,8,8,9,9,9,9
"80",158,19,"Female",9,4,7,9,5,2,8,3,3,7
"81",114,20,"Female",8,4,8,7,9,9,5,9,6,5
"82",157,19,"Female",9,2,9,9,5,4,9,8,5,9
"83",174,19,"Female",9,6,5,9,9,9,9,9,9,9
"84",132,19,"Female",9,2,8,9,7,6,9,8,8,9
"85",145,18,"Female",9,2,7,9,9,6,7,9,5,9
"86",97,19,"Female",9,1,9,9,9,6,9,9,7,9
"87",80,19,"Male",9,6,5,9,7,7,1,7,7,1
"88",226,23,"Male",9,7,4,9,9,9,1,9,8,1
"89",102,23,"Male",8,7,3,8,7,6,4,6,6,4
"90",177,20,"Male",9,5,5,9,8,6,2,9,3,1
"91",171,19,"Female",9,3,8,9,8,4,8,9,3,9
"92",144,19,"Female",9,3,6,8,8,5,7,9,3,8
"93",69,19,"Female",9,1,8,9,9,9,9,9,2,9
"94",168,19,"Female",9,1,7,9,9,8,9,9,7,9
"95",119,18,"Female",9,2,8,9,7,6,7,8,6,8
"96",157,20,"Female",5,6,6,5,9,7,4,9,5,4
"97",133,19,"Male",9,6,4,9,9,5,2,9,6,2
"98",128,19,"Female",9,4,7,9,6,2,7,6,2,8
"99",185,24,"Female",9,5,5,4,6,6,6,3,3,7
"100",71,19,"Female",9,3,6,9,7,7,9,7,7,9
"101",136,20,"Male",9,9,3,9,9,9,9,9,3,1
"102",184,18,"Female",9,2,9,9,6,6,9,6,5,9
"103",103,22,"Female",9,4,6,7,7,6,7,4,3,5
"104",235,20,"Female",9,3,8,9,7,4,9,9,2,9
"105",84,19,"Male",9,5,6,9,9,9,5,7,4,3
"106",157,18,"Female",9,2,7,9,7,6,9,7,7,9
"107",294,20,"Female",7,6,7,5,8,6,5,NA,7,4
"108",109,18,"Female",8,4,7,8,9,7,1,9,7,1
"109",289,19,"Female",9,2,8,9,7,5,7,8,6,7
"110",221,28,"Female",9,1,8,9,7,6,9,7,6,9
"111",3294,18,"Female",7,3,6,8,7,4,8,6,4,6
"112",92,19,"Female",8,6,5,8,9,7,9,8,6,9
